Universidade;Ano;Mês;Função;Grupo Natureza;Origem Recursos;Orçamento Inicial LOA;Total Orçamentário Até Mês;Total Orçamentário No Mês;Disponibilidade Orçamentária Até Mês;Disponibilidade Orçamentária No Mês;Empenhado Até Mês;Empenhado No Mês;Liquidado Até Mês;Liquidado No Mês;Pago Até Mês;Pago No Mês;Valor Empenhado;Valor Liquidado;Valor Pago;Fator Correção
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;10 - SAÚDE;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;62250400,31;5824833,55;68075233,86;5824833,55;64659641,21;10902871,84;63255175,15;5333605,6;51824899,33;5333605,6;51824899,33;63255175,15;51824899,33;51824899,33;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;10 - SAÚDE;4 - INVESTIMENTOS;O - OUTRAS FONTES;42830740,82;-5824833,55;37005907,26;-5824833,55;24762148,44;416175,3;20228363,1;9579708,58;18240659,77;9579708,58;18240659,77;20228363,1;18240659,77;18240659,77;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;10 - SAÚDE;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;108270014,2;15170263,95;123440278,2;14809486,81;123079501;19842825,53;123078086,8;18544738,55;121779999,8;18544738,55;121779999,8;123078086,8;121779999,8;121779999,8;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;10 - SAÚDE;4 - INVESTIMENTOS;T - TESOURO;27058285,7;-27058285,7;721554,29;-27058285,7;721554,29;0;0;0;0;0;0;0;0;0;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;12 - EDUCAÇÃO;2 - JUROS E ENCARGOS DA DÍVIDA;O - OUTRAS FONTES;1948196,57;0;1948196,57;0;0;0;0;0;0;0;0;0;0;0;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;O - OUTRAS FONTES;44924943,9;2752729,6;47677673,5;2752729,6;43584884,1;7773579,37;36587685,96;4087693,85;28602361,9;4103362,4;28597255,53;36587685,96;28602361,9;28597255,53;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;O - OUTRAS FONTES;79619907,61;-2752729,6;76867178,01;-2752729,6;29874641,95;3165249,9;14185397,16;9500539,35;12559048,72;9500539,35;12559048,72;14185397,16;12559048,72;12559048,72;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;12 - EDUCAÇÃO;1 - PESSOAL E ENCARGOS SOCIAIS;T - TESOURO;288584842,7;34579569,14;323164411,8;34193519,56;322778362,2;55081012,87;322746426,3;50711713,41;318377126,9;50711713,41;318377126,9;322746426,3;318377126,9;318377126,9;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;12 - EDUCAÇÃO;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;23707964,84;-721554,29;25219949,37;-721554,29;25142317,35;2829069,57;24871543,06;2541628,65;23678841,79;2541628,65;23678841,79;24871543,06;23678841,79;23678841,79;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;12 - EDUCAÇÃO;4 - INVESTIMENTOS;T - TESOURO;5411657,14;-4329325,71;1082331,43;-4329325,71;0;0;0;0;0;0;0;0;0;0;3,607771426
45.30 - SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR / UNIVERSIDADE ESTADUAL DE LONDRINA - UEL;2002;12;28 - ENCARGOS ESPECIAIS;3 - OUTRAS DESPESAS CORRENTES;T - TESOURO;618696,72;0;618696,72;17245,15;25813,6;17241,86;25808,81;0;8566,94;0;8566,94;25808,81;8566,94;8566,94;3,607771426
